idx;real;
0;500.000000;
0;499.999853;
0;499.999412;
0;499.998676;
0;499.997647;
0;499.996323;
0;499.994706;
0;499.992794;
0;499.990588;
0;499.988087;
0;499.985293;
0;499.982205;
0;499.978822;
0;499.975146;
0;499.971175;
0;499.966910;
0;499.962351;
0;499.957498;
0;499.952351;
0;499.946909;
0;499.941174;
0;499.935144;
0;499.928821;
0;499.922203;
0;499.915291;
0;499.908085;
0;499.900585;
0;499.892791;
0;499.884703;
0;499.876320;
0;499.867644;
0;499.858674;
0;499.849409;
0;499.839851;
0;499.829998;
0;499.819852;
0;499.809411;
0;499.798677;
0;499.787648;
0;499.776325;
0;499.764709;
0;499.752798;
0;499.740593;
0;499.728095;
0;499.715302;
0;499.702216;
0;499.688835;
0;499.675161;
0;499.661192;
0;499.646930;
0;499.632374;
0;499.617523;
0;499.602379;
0;499.586941;
0;499.571209;
0;499.555184;
0;499.538864;
0;499.522250;
0;499.505343;
0;499.488142;
0;499.470647;
0;499.452858;
0;499.434775;
0;499.416398;
0;499.397728;
0;499.378764;
0;499.359506;
0;499.339954;
0;499.320109;
0;499.299970;
0;499.279537;
0;499.258811;
0;499.237790;
0;499.216476;
0;499.194869;
0;499.172967;
0;499.150772;
0;499.128284;
0;499.105502;
0;499.082426;
0;499.059056;
0;499.035393;
0;499.011437;
0;498.987187;
0;498.962643;
0;498.937806;
0;498.912675;
0;498.887251;
0;498.861533;
0;498.835522;
0;498.809218;
0;498.782620;
0;498.755728;
0;498.728543;
0;498.701065;
0;498.673293;
0;498.645228;
0;498.616870;
0;498.588218;
0;498.559273;
0;498.530035;
0;498.500504;
0;498.470679;
0;498.440561;
0;498.410150;
0;498.379445;
0;498.348448;
0;498.317157;
0;498.285573;
0;498.253696;
0;498.221526;
0;498.189062;
0;498.156306;
0;498.123257;
0;498.089914;
0;498.056279;
0;498.022350;
0;497.988129;
0;497.953615;
0;497.918807;
0;497.883707;
0;497.848314;
0;497.812628;
0;497.776649;
0;497.740378;
0;497.703813;
0;497.666956;
0;497.629806;
0;497.592363;
0;497.554628;
0;497.516600;
0;497.478279;
0;497.439665;
0;497.400759;
0;497.361561;
0;497.322069;
0;497.282285;
0;497.242209;
0;497.201840;
0;497.161179;
0;497.120225;
0;497.078978;
0;497.037440;
0;496.995609;
0;496.953485;
0;496.911069;
0;496.868361;
0;496.825361;
0;496.782068;
0;496.738483;
0;496.694606;
0;496.650436;
0;496.605975;
0;496.561221;
0;496.516175;
0;496.470837;
0;496.425207;
0;496.379285;
0;496.333071;
0;496.286565;
0;496.239767;
0;496.192677;
0;496.145296;
0;496.097622;
0;496.049657;
0;496.001399;
0;495.952850;
0;495.904009;
0;495.854877;
0;495.805453;
0;495.755737;
0;495.705729;
